,（停止）能繁母猪:中国:农业部:存栏量:当月值,中国:36大中城市日用工业消费品平均价格:白酒(500ml左右52度高档),中国:36大中城市日用工业消费品平均价格:白酒(500ml左右52度中低档),中国:36大中城市日用工业消费品平均价格:啤酒(罐装350ml左右),中国:36大中城市日用工业消费品平均价格:啤酒(瓶装630ml左右),中国:36大中城市:日用工业消费品平均价格:葡萄酒:干红(750ml,12度,高档),中国:36个大中城市:日用工业消费品平均价格:葡萄酒(干红750ml12度中低档),中国:36个大中城市:日用工业消费品平均价格:进口烟,中国:36个大中城市:日用工业消费品平均价格:国产烟(高档),中国:36个大中城市:日用工业消费品平均价格:国产烟(中低档),中国:36大中城市:平均价格:日用工业消费品:女士内衣(纯棉普通),中国:36个大中城市:日用工业消费品平均价格:男士衬衫(纯棉),中国:36个大中城市:日用工业消费品平均价格:洗发液(瓶装750ml),中国:36个大中城市:日用工业消费品平均价格:女士毛衣(纯羊毛),中国:36个大中城市:日用工业消费品平均价格:牙膏(普通120克左右),中国:36个大中城市:日用工业消费品平均价格:沐浴液(瓶装750ml),36大中城市日用工业消费品平均价格:香皂:普通125克,36大中城市日用工业消费品平均价格:洗洁精:瓶装500克,36大中城市日用工业消费品平均价格:洗衣粉:袋装1kg,36大中城市日用工业消费品平均价格:男士内衣:纯棉普通,36大中城市日用工业消费品平均价格:男士毛衣:纯羊毛,中国:民航客运量:当月值,中国:民航客运量:国际航线:当月值,中国:民航客运量:国内航线:当月值,中国:铁路货运量:当月值,中国:铁路货运量:累计同比,中国:铁路货运量:当月同比,中国:铁路客运量:当月值
2013-01-31,5068.04,1113.0,144.0,3.86,3.95,602.0,71.63,17.11,56.62,15.25,209.0,452.0,52.76,681.0,8.16,32.86,4.87,4.34,12.63,191.0,725.0,,,0.2567,190.3,2376.7,3.4443,1.6,1.6,1.8757
2013-02-28,5057.91,1089.0,143.0,3.86,3.96,598.0,71.64,17.1,56.63,15.35,211.0,459.0,52.74,683.0,8.17,32.73,4.87,4.35,12.61,193.0,735.0,,,0.2787,205.4,2582.0,3.098,-0.03,-1.8,1.4044
2013-03-31,5032.62,1090.0,144.0,3.94,4.04,599.0,72.02,17.04,56.68,15.42,210.0,459.0,52.75,678.0,8.22,33.07,4.89,4.35,12.76,192.0,731.0,,,0.2878,209.2,2669.2000000000003,3.3984,-0.87,-2.4,1.6854
2013-04-30,5012.49,,,,,,,,,,,,,,,,,,,,,,,0.2849,214.8,2634.4,3.1218,-2.27,-6.47,1.7502
2013-05-31,5012.49,,,,,,,,,,,,,,,,,,,,,,,0.2855,204.3,2651.0,3.242,-3.13,-6.46,1.6232
2013-06-30,5007.48,1038.0,147.0,4.04,3.99,594.0,70.01,17.05,56.36,15.27,213.0,459.0,54.36,676.0,8.3,32.86,4.93,4.39,12.93,194.0,729.0,,,0.2865,215.4,2650.0,3.1304,-2.75,-0.7,1.8043
2013-07-31,4997.46,,,,,,,,,,,,,,,,,,,,,,,0.3266,247.3,3019.2000000000003,3.1883,-1.77,4.7,1.9931
2013-08-31,5012.45,1032.0,148.0,4.04,3.99,585.0,63.56,17.06,56.71,15.47,215.0,461.0,53.96,677.0,8.3,32.83,4.95,4.42,12.96,199.0,727.0,,,0.3476,271.4,3204.3,3.2814,-0.6,8.1,2.0287
2013-09-30,5007.44,,,,,,,,,,,,,,,,,,,,,,,0.3049,241.9,2806.6,3.3447,0.39,9.0,1.9197
2013-10-31,4997.43,1009.0,148.0,4.08,4.0,585.0,63.35,17.11,56.67,15.46,218.0,456.0,54.08,678.0,8.29,33.0,4.96,4.44,12.95,203.0,732.0,,,0.3165,223.4,2941.4,3.5132,1.16,8.1,1.6407
2013-11-30,4972.44,1000.0,149.0,4.1,4.0,585.0,62.96,17.15,56.59,15.43,219.0,456.0,54.42,680.0,8.31,32.86,4.96,4.43,12.95,201.0,734.0,,,0.2851,211.9,2639.6,3.394,1.36,3.3,1.5557
2013-12-31,4937.63,991.0,149.0,4.12,3.98,582.0,62.53,17.15,56.44,15.43,217.0,446.0,54.36,724.0,8.34,33.21,4.96,4.42,12.97,199.0,761.0,,,0.2793,,,3.5133,1.6,4.2,1.7375
2014-01-31,4908.01,940.0,145.0,4.11,3.99,581.0,62.18,17.36,56.57,15.42,211.0,437.0,54.81,785.0,8.25,33.17,4.95,4.42,12.98,200.0,792.0,,,0.3058,228.6,2828.9,3.4367,-0.2197,-0.2197,1.905
2014-02-28,4868.74,921.0,143.0,4.12,4.02,581.0,61.81,17.36,56.6,15.42,211.0,437.0,54.79,781.0,8.2,33.05,4.95,4.43,12.96,199.0,782.0,,,0.3109,232.1,2876.5,2.902,-3.1118,-6.3272,1.5975
2014-03-31,4790.84,1090.0,144.0,3.94,4.04,599.0,72.02,17.04,56.68,15.42,210.0,459.0,52.75,678.0,8.22,33.07,4.89,4.35,12.76,192.0,731.0,,,0.3025,231.6,2793.1,3.2574,-3.4664,-4.1491,1.8054
2014-04-30,4685.44,889.0,143.0,4.13,4.03,577.0,61.7,17.36,56.55,15.37,212.0,436.0,55.59,778.0,8.14,32.93,4.97,4.4,13.01,197.0,770.0,,,0.3142,245.4,2896.1,3.0369,-3.2878,-2.7191,1.9843
2014-05-31,4638.59,889.0,143.0,4.14,4.04,575.0,61.43,17.36,56.51,15.38,210.0,435.0,55.6,780.0,8.09,32.84,4.96,4.36,13.02,195.0,770.0,,,0.3134,237.9,2896.4,3.2084,-2.8396,-1.0338,1.9037
2014-06-30,4592.2,888.0,137.0,4.15,4.06,575.0,61.02,17.38,56.62,15.33,212.0,438.0,55.49,782.0,8.11,32.84,4.95,4.33,13.02,196.0,772.0,,,0.3061,236.6,2824.1,3.1092,-2.4911,-0.6759,1.9456
2014-07-31,4537.1,883.0,122.0,4.15,4.05,580.0,59.95,17.42,56.77,15.24,213.0,439.0,55.56,781.0,8.22,32.87,4.93,4.32,13.05,198.0,775.0,,,0.358,286.79999999999995,3292.9,3.1388,-2.3585,-1.55,2.2386
2014-08-31,4500.8,881.0,132.0,4.13,4.06,573.0,59.61,17.25,56.6,15.29,213.0,442.0,55.53,780.0,8.17,32.86,4.93,4.32,13.11,199.0,775.0,,,0.373,319.7,3410.5,3.2674,-2.1137,-0.4258,2.3515
2014-09-30,4478.3,869.0,144.0,4.08,4.1,564.0,60.6,17.24,56.4,15.42,214.0,442.0,55.98,781.0,8.24,32.98,4.98,4.34,13.21,201.0,775.0,,,0.3315,276.8,3038.6,3.162,-2.4967,-5.4629,2.0986
2014-10-31,4420.08,862.0,156.0,4.05,4.11,564.0,60.99,17.25,56.4,15.44,214.0,443.0,55.83,785.0,8.33,33.0,5.0,4.36,13.21,204.0,782.0,,,0.3488,287.8,3200.4,3.2965,-2.8903,-6.1677,1.7919
2014-11-30,4367.04,856.0,161.0,4.07,4.12,562.0,61.11,17.25,56.46,15.45,212.0,436.0,55.7,787.0,8.33,32.96,4.99,4.37,13.19,206.0,793.0,,,0.324,268.5,2971.2,3.1738,-3.2279,-6.4869,1.7056
2014-12-31,4288.43,852.0,160.0,4.07,4.19,557.0,61.13,17.24,56.47,15.45,207.0,430.0,55.75,790.0,8.33,32.79,4.98,4.37,13.16,203.0,804.0,,,0.3193,,,3.1371,-3.8728,-10.7084,2.2427
2015-01-31,4189.8,842.0,158.0,4.08,4.2,553.0,61.08,17.17,56.48,15.46,202.0,428.0,55.75,804.0,8.44,32.94,4.97,4.35,13.13,201.0,803.0,,,0.3246,290.9,2955.0,3.1253,-9.0626,-9.0626,1.876
2015-02-28,4110.19,827.0,156.0,4.09,4.14,550.0,60.92,17.12,56.46,15.46,203.0,422.0,55.53,806.0,8.47,33.08,5.0,4.35,13.11,203.0,792.0,,,0.3493,341.2,3151.5,2.637,-9.0929,-9.1288,1.4996
2015-03-31,4040.32,811.0,153.0,4.08,4.18,548.0,62.31,17.13,56.61,15.46,201.0,420.0,54.44,802.0,8.43,32.89,4.95,4.34,13.13,201.0,790.0,,,0.367,332.7,3337.2000000000003,2.9297,-9.4215,-10.0602,2.1554
2015-04-30,3971.63,803.0,150.0,4.08,4.2,545.0,62.18,17.15,56.6,15.46,204.0,421.0,54.35,788.0,8.4,32.96,4.98,4.36,13.23,204.0,784.0,,,0.3579,347.6,3231.9,2.7351,-9.5456,-9.9378,2.1091
2015-05-31,3923.97,,,,,,,,,,,,,,,,,,,,,,,0.3541,350.7,3190.8,2.8569,-9.832,-10.9577,2.1219
2015-06-30,3900.43,791.0,147.0,4.07,4.23,545.0,62.35,17.55,57.95,16.32,203.0,420.0,53.84,782.0,8.38,33.37,4.95,4.36,13.19,203.0,778.0,,,0.3404,318.79999999999995,3085.6,2.7453,-10.1393,-11.7051,2.0614
2015-07-31,3877.03,791.0,145.0,4.06,4.25,550.0,62.34,17.59,58.02,16.43,205.0,420.0,54.03,781.0,8.36,33.35,4.96,4.36,13.2,204.0,775.0,,,0.3915,364.7,3550.2000000000003,2.797,-10.2459,-10.8899,2.4776
2015-08-31,3861.52,800.0,143.0,4.06,4.24,545.0,62.35,17.59,58.13,16.35,205.0,420.0,54.44,781.0,8.37,33.48,4.97,4.38,13.21,205.0,775.0,,,0.4165,410.4,3754.8,2.7663,-10.9019,-15.3363,2.5539
2015-09-30,3853.79,793.0,139.0,4.08,4.24,546.0,61.69,17.61,58.09,16.3,204.0,419.0,54.7,775.0,8.41,33.09,4.98,4.39,13.24,201.0,771.0,,,0.3672,353.7,3318.6,2.6692,-11.4208,-15.5851,2.1802
2015-10-31,3849.94,796.0,143.0,4.1,4.25,559.0,61.84,17.71,58.38,16.4,206.0,426.0,54.04,792.0,8.39,33.22,4.99,4.4,13.28,204.0,791.0,,,0.3855,375.1,3479.9999999999995,2.7638,-11.9313,-16.3378,2.2686
2015-11-30,3826.84,792.0,147.0,4.09,4.29,545.0,62.11,17.75,58.39,16.28,208.0,430.0,54.13,798.0,8.43,33.34,5.01,4.41,13.48,205.0,791.0,,,0.3498,348.5,3149.4,2.6777,-12.2669,-15.6322,1.8816
2015-12-31,3800.05,790.0,152.0,4.08,4.31,544.0,66.26,17.72,58.46,16.28,207.0,436.0,54.5,798.0,8.43,33.24,5.02,4.4,13.58,204.0,788.0,,,0.3525,370.7,3154.4,2.8768,-11.9404,-8.2985,1.8248
2016-01-31,3784.85,785.0,152.0,4.08,4.41,544.0,66.96,17.63,58.43,16.32,203.0,438.0,54.56,801.0,8.44,33.05,5.01,4.4,13.59,202.0,780.0,,,0.3736,417.2000000000001,3319.1000000000004,2.8126,-10.0049,-10.0049,2.1161
2016-02-29,3762.14,782.0,152.0,4.06,4.44,544.0,67.75,17.61,58.43,16.32,204.0,427.0,54.75,800.0,8.45,33.06,5.03,4.39,13.58,201.0,780.0,,,0.3898,437.6,3460.0,2.3547,-10.3263,-10.7082,2.4112
2016-03-31,3762.14,780.0,155.0,4.04,4.44,547.0,68.71,17.7,58.59,16.34,208.0,423.0,54.41,803.0,8.49,33.01,5.03,4.39,13.51,201.0,780.0,,,0.3894,409.9,3483.6000000000004,2.7433,-8.9899,-6.3624,2.1242
2016-04-30,3773.43,783.0,155.0,4.04,4.41,548.0,68.49,17.7,58.59,16.38,210.0,423.0,54.38,801.0,8.47,33.03,5.03,4.4,13.54,200.0,777.0,,,0.4,423.4,3547.9999999999995,2.61,-7.9,-4.5,2.395
2016-05-31,3762.11,785.0,154.0,4.04,4.4,548.0,69.24,17.79,58.62,16.38,209.0,423.0,54.19,801.0,8.44,33.12,5.02,4.39,13.56,199.0,782.0,,,0.3897,409.7,3487.6000000000004,2.6575,-7.7,-7.0,2.2886
2016-06-30,3762.11,790.0,154.0,4.04,4.42,548.0,69.34,17.8,58.59,16.39,209.0,420.0,54.0,799.0,8.5,33.1,5.06,4.4,13.52,199.0,780.0,,,0.38,420.9,3409.4,2.57,-7.5,-6.3,2.32
2016-07-31,3754.59,791.0,154.0,4.05,4.41,551.0,71.2,17.81,58.49,16.46,209.0,422.0,54.1,797.0,8.47,32.96,5.07,4.42,13.63,199.0,775.0,,,0.4353,490.3,3863.000000000001,2.6349,-7.3,-5.8,2.6818
2016-08-31,3732.06,791.0,147.0,4.06,4.42,553.0,71.31,17.8,58.5,16.49,209.0,423.0,54.14,797.0,8.54,33.04,5.05,4.43,13.63,199.0,777.0,,,0.4642,509.00000000000006,4133.0,2.7931,-6.2,1.0,2.8007
2016-09-30,3713.4,796.0,148.0,4.03,4.43,552.0,70.62,17.79,58.51,16.54,211.0,422.0,54.37,796.0,8.6,32.82,5.04,4.42,13.65,201.0,777.0,,,0.4169,423.1,3746.1,2.856,-4.8,7.0,2.3918
2016-10-31,3705.97,795.0,150.0,4.01,4.43,553.0,70.92,17.73,58.4,16.57,211.0,420.0,54.35,799.0,8.66,32.81,5.04,4.42,13.54,202.0,778.0,,,0.4374,414.0,3959.6,3.0721,-3.3,11.2,2.5001
2016-11-30,3687.44,801.0,151.0,4.03,4.42,552.0,71.19,17.6,58.43,16.61,211.0,424.0,54.59,810.0,8.66,32.83,5.05,4.42,13.56,205.0,780.0,,,0.3971,377.3,3593.6000000000004,3.0493,-1.8,13.9,2.0409
2016-12-31,3669.0,813.0,153.0,4.02,4.44,551.0,71.76,17.54,58.5,16.61,212.0,426.0,54.76,812.0,8.63,32.76,5.07,4.44,13.55,205.0,783.0,,,0.4041,430.0,3610.7,3.1579,-0.8,9.8,2.0768
2017-01-31,3654.33,836.0,155.0,4.04,4.44,554.0,72.89,17.68,58.8,16.64,216.0,429.0,55.49,840.0,8.71,33.16,5.09,4.47,13.56,209.0,814.0,,,0.4393,496.9,3896.2,3.1058,10.4,10.4,2.4756
2017-02-28,3636.06,843.0,154.0,4.06,4.43,559.0,74.79,17.75,58.86,16.66,220.0,428.0,56.0,853.0,8.86,33.56,5.09,4.51,13.62,216.0,826.0,,,0.4279,458.1,3820.9,2.8121,14.5,19.4,2.5525
2017-03-31,3636.06,847.0,154.0,4.02,4.49,563.0,74.77,17.77,58.78,16.66,218.0,428.0,56.61,850.0,8.87,34.04,5.09,4.52,13.58,213.0,811.0,,,0.4431,439.9,3990.6,3.2185,15.5,17.3,2.2624
2017-04-30,3636.06,858.0,155.0,4.04,4.51,565.0,74.79,17.67,58.67,16.74,217.0,426.0,56.01,852.0,8.91,33.98,5.09,4.54,13.53,212.0,810.0,,,0.4402,426.3,3976.0,3.0133,15.4,15.3,2.6504
2017-05-31,3606.97,871.0,156.0,4.1,4.5,567.0,74.86,17.65,58.62,16.8,216.0,428.0,56.47,828.0,8.92,33.98,5.11,4.54,13.54,211.0,823.0,,,0.4498,423.3,4074.3,3.0304,15.2,14.0,2.6397
2017-06-30,3588.93,872.0,157.0,4.1,4.5,500.0,74.88,17.65,58.6,16.81,216.0,430.0,56.18,818.0,8.91,33.82,5.1,4.54,13.46,213.0,823.0,,,0.4373,428.50000000000006,3944.1,2.9934,15.3,16.3,2.4077
2017-07-31,3556.63,882.0,157.0,4.07,4.47,365.0,74.91,17.64,58.58,16.81,216.0,428.0,56.38,817.0,9.02,33.95,5.1,4.52,13.48,211.0,822.0,,,0.486,496.1,4363.900000000001,3.1002,15.7,17.7,2.9378
2017-08-31,3524.62,887.0,157.0,4.05,4.49,360.0,72.43,17.68,58.48,16.81,215.0,426.0,57.04,816.0,9.01,34.2,5.1,4.52,13.41,211.0,821.0,,,0.5046,522.7,4523.8,3.159,15.3,13.1,3.0692
2017-09-30,3499.95,888.0,157.0,4.04,4.49,357.0,71.0,17.7,58.42,16.81,215.0,431.0,57.08,817.0,9.03,34.47,5.11,4.53,13.4,211.0,823.0,,,0.4655,454.6,4200.1,3.1178,14.6,9.2,2.4884
2017-10-31,3489.45,894.0,158.0,4.04,4.49,357.0,70.6,17.71,58.4,16.81,215.0,434.0,57.39,823.0,9.01,34.5,5.12,4.54,13.31,211.0,829.0,,,0.4883,467.9,4415.2,3.2199,13.5,4.8,2.7621
2017-11-30,3468.51,897.0,158.0,4.02,4.56,354.0,70.74,17.7,58.41,16.82,219.0,436.0,57.63,819.0,9.01,34.56,5.12,4.54,13.31,215.0,831.0,,,0.4646,441.8,4203.7,3.0774,12.2,0.9,2.2703
2017-12-31,3426.89,912.0,158.0,4.02,4.65,349.0,71.47,17.72,58.45,16.84,222.0,439.0,57.29,812.0,8.92,34.4,5.11,4.55,13.34,219.0,827.0,,,0.4666,486.4,4179.2,3.0387,10.7,-3.8,2.3219
2018-01-31,3416.61,946.0,158.0,4.03,4.68,347.0,71.48,17.69,58.45,16.81,226.0,443.0,57.2,815.0,8.91,34.48,5.13,4.58,13.39,224.0,827.0,,,0.4647,493.7,4153.2,3.3963,9.4,9.4,2.4564
2018-02-28,3416.61,977.0,157.0,4.03,4.65,346.0,70.15,17.64,58.54,16.78,225.0,447.0,56.81,813.0,8.93,34.61,5.14,4.59,13.32,223.0,825.0,,,0.4843,525.8,4316.900000000001,3.0435,8.8,8.2,2.6081
2018-03-31,3420.03,982.0,156.0,4.05,4.65,346.0,70.4,17.66,58.59,16.75,224.0,441.0,57.91,809.0,8.94,34.97,5.14,4.6,13.33,222.0,826.0,,,0.514,529.2,4611.0,3.3972,7.7,5.6,2.7612
2018-04-30,3372.15,996.0,158.0,4.11,4.66,346.0,71.48,17.64,58.54,16.72,222.0,443.0,56.48,806.0,8.93,34.94,5.12,4.59,13.29,220.0,824.0,,,0.5074,533.6999999999999,4540.5,3.0546,6.1,1.4,2.89
2018-05-31,3287.84,1009.0,151.0,4.08,4.56,346.0,67.83,17.86,59.57,16.72,222.0,449.0,56.64,804.0,8.95,35.06,5.12,4.6,13.25,218.0,833.0,,,0.5013,508.00000000000006,4504.8,3.3884,7.2,11.8,2.6827
2018-06-30,3245.1,1018.0,151.0,4.09,4.7,349.0,67.98,17.89,59.5,16.66,226.0,448.0,55.44,801.0,8.93,35.1,5.11,4.6,13.24,221.0,830.0,,,0.4938,522.0,4415.900000000001,3.295,7.7,10.1,2.7834
2018-07-31,3183.44,1032.0,151.0,4.09,4.74,351.0,67.92,17.87,59.5,16.62,225.0,452.0,57.62,793.0,9.02,35.2,5.12,4.63,13.26,220.0,825.0,,,0.5378,566.1999999999999,4811.7,3.3712,7.9,8.7,3.2276
2018-08-31,3148.43,1036.0,151.0,4.11,4.8,356.0,68.04,17.89,59.69,16.72,224.0,461.0,57.06,793.0,9.1,35.21,5.14,4.67,13.35,215.0,842.0,,,0.5657,594.1,5062.7,3.3714,7.7,6.7,3.434
2018-09-30,3138.98,1039.0,151.0,4.0,5.0,352.0,68.0,18.0,59.0,17.0,224.0,463.0,58.0,794.0,9.0,35.0,5.0,5.0,13.0,216.0,842.0,,,0.5029,502.8,4526.1,3.4207,7.9,9.7,2.8253
2018-10-31,3101.31,1037.0,151.0,4.04,4.79,349.0,67.89,17.89,59.47,16.59,227.0,465.0,57.36,842.0,9.09,34.9,5.14,4.75,13.44,219.0,847.0,,,0.5408,525.0999999999999,4883.3,3.546,8.2,10.1,3.0467
