,COMEX:黄金:投机性净多头持仓:当周值,COMEX:黄金:投机性净多头持仓占比:当周值,COMEX:1号铜:非商业空头持仓:持仓数量,COMEX:1号铜:非商业多头持仓:持仓数量,COMEX:黄金:非商业多头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量,COMEX:黄金:非商业空头持仓:持仓数量占比,COMEX:黄金:非商业多头持仓:持仓数量占比
2020-10-11,248587.0,44.75,,,,,,
2020-10-13,,,59918.0,119134.0,326986.0,86315.0,15.6,59.1
2020-10-18,240671.0,43.51,,,,,,
2020-10-20,,,63728.0,130993.0,340206.0,90602.0,16.1,60.4
2020-10-25,249604.0,44.34,,,,,,
2020-10-27,,,59806.0,126722.0,326063.0,77429.0,13.8,58.1
2020-11-01,248634.0,44.33,,,,,,
2020-11-03,,,54459.0,115597.0,321798.0,78889.0,14.5,59.1
2020-11-08,242909.0,44.59,,,,,,
2020-11-10,,,55329.0,120398.0,318516.0,78780.0,14.4,58.2
2020-11-15,239736.0,43.79,,,,,,
2020-11-17,,,56539.0,123701.0,329698.0,78428.0,14.1,59.1
2020-11-22,251270.0,45.07,,,,,,
2020-11-24,,,56522.0,130293.0,320324.0,76422.0,13.8,57.7
2020-11-29,243902.0,43.93,,,,,,
2020-12-01,,,54614.0,134470.0,324344.0,64030.0,11.9,60.3
2020-12-06,260314.0,48.38,,,,,,
2020-12-08,,,56839.0,136878.0,338271.0,69051.0,12.6,61.6
2020-12-13,269220.0,48.99,,,,,,
2020-12-15,,,61852.0,133972.0,340610.0,69026.0,12.5,61.9
2020-12-20,271584.0,49.35,,,,,,
2020-12-21,,,62002.0,133440.0,349870.0,71674.0,12.8,62.4
2020-12-27,278196.0,49.61,,,,,,
2020-12-29,,,61114.0,132395.0,341812.0,72940.0,13.1,61.4
2021-01-03,268872.0,48.32,,,,,,
2021-01-05,,,65850.0,135088.0,349946.0,70628.0,12.4,61.5
2021-01-10,279318.0,49.1,,,,,,
2021-01-12,,,64757.0,131399.0,313217.0,66990.0,12.1,56.4
2021-01-17,246227.0,44.32,,,,,,
2021-01-19,,,64131.0,132237.0,307507.0,60869.0,11.2,56.8
2021-01-24,246638.0,45.56,,,,,,
2021-01-26,,,61152.0,131420.0,313532.0,55986.0,10.5,58.7
2021-01-31,257546.0,48.18,,,,,,
2021-02-02,,,65261.0,131607.0,314352.0,57226.0,11.0,60.5
2021-02-07,257126.0,49.45,,,,,,
2021-02-09,,,69632.0,140927.0,309326.0,57919.0,11.4,61.0
2021-02-14,251407.0,49.61,,,,,,
2021-02-16,,,72854.0,146763.0,303583.0,68614.0,13.6,60.4
2021-02-21,234969.0,46.71,,,,,,
2021-02-23,,,65125.0,140530.0,284081.0,68348.0,14.2,59.0
2021-02-28,215733.0,44.84,,,,,,
2021-03-02,,,66127.0,132144.0,265533.0,75895.0,16.3,56.9
2021-03-07,189638.0,40.61,,,,,,
2021-03-09,,,62688.0,114067.0,254839.0,79676.0,16.8,53.8
2021-03-14,175163.0,36.96,,,,,,
2021-03-16,,,62739.0,109118.0,256237.0,76041.0,16.0,53.8
2021-03-21,180196.0,37.82,,,,,,
2021-03-23,,,64525.0,109933.0,262774.0,88707.0,18.3,54.1
2021-03-28,174067.0,35.86,,,,,,
2021-03-30,,,60633.0,104500.0,263453.0,95925.0,20.5,56.4
2021-04-04,167528.0,35.85,,,,,,
2021-04-06,,,66975.0,109985.0,275703.0,86194.0,18.6,59.5
2021-04-11,189509.0,40.9,,,,,,
2021-04-13,,,68134.0,104129.0,269513.0,88639.0,19.2,58.5
2021-04-18,180874.0,39.26,,,,,,
2021-04-20,,,67049.0,109912.0,275985.0,94487.0,20.0,58.5
2021-04-25,181498.0,38.47,,,,,,
2021-04-27,,,70874.0,120135.0,270717.0,100098.0,21.1,57.2
2021-05-02,170619.0,36.05,,,,,,
2021-05-04,,,74801.0,128571.0,270194.0,99453.0,21.1,57.4
2021-05-09,170741.0,36.3,,,,,,
2021-05-11,,,72825.0,118656.0,282161.0,89906.0,18.0,56.6
2021-05-16,192255.0,38.55,,,,,,
2021-05-18,,,69925.0,108903.0,290267.0,91378.0,17.6,55.8
2021-05-23,198889.0,38.22,,,,,,
2021-05-25,,,70493.0,94206.0,288266.0,73624.0,14.4,56.5
2021-05-30,214642.0,42.07,,,,,,
2021-06-01,,,73715.0,92238.0,288826.0,75125.0,15.4,59.0
2021-06-06,213701.0,43.68,,,,,,
2021-06-08,,,76521.0,91156.0,288781.0,79394.0,16.1,58.7
2021-06-13,209387.0,42.57,,,,,,
2021-06-15,,,79438.0,90209.0,273947.0,81911.0,17.1,57.1
2021-06-20,192036.0,40.0,,,,,,
2021-06-22,,,74854.0,82540.0,253153.0,86939.0,19.2,55.8
2021-06-27,166214.0,36.62,,,,,,
2021-06-29,,,72112.0,83473.0,254206.0,91980.0,20.3,56.1
2021-07-04,162226.0,35.78,,,,,,
2021-07-06,,,68551.0,84324.0,270545.0,87724.0,18.8,58.1
2021-07-11,182821.0,39.25,,,,,,
2021-07-13,,,65992.0,82971.0,275543.0,84707.0,17.1,55.6
2021-07-18,190836.0,38.49,,,,,,
2021-07-20,,,61536.0,81809.0,277312.0,81340.0,16.6,56.5
2021-07-25,195972.0,39.95,,,,,,
2021-07-27,,,55133.0,92484.0,273688.0,74300.0,14.9,54.7
2021-08-01,199388.0,39.86,,,,,,
2021-08-03,,,56913.0,91973.0,273143.0,76808.0,15.8,56.2
2021-08-08,196335.0,40.43,,,,,,
2021-08-10,,,59929.0,88960.0,277260.0,108854.0,22.8,58.1
2021-08-15,168406.0,35.29,,,,,,
2021-08-17,,,65873.0,85953.0,284437.0,92895.0,19.1,58.6
2021-08-22,191542.0,39.45,,,,,,
2021-08-24,,,65266.0,73890.0,299084.0,88431.0,17.5,59.3
2021-08-29,210653.0,41.74,,,,,,
2021-08-31,,,56270.0,78177.0,311004.0,94454.0,18.6,61.3
2021-09-05,216550.0,42.7,,,,,,
2021-09-07,,,54734.0,78326.0,306017.0,99978.0,19.7,60.4
2021-09-12,206039.0,40.66,,,,,,
2021-09-14,,,52444.0,81223.0,306988.0,99228.0,19.6,60.6
2021-09-19,207760.0,41.03,,,,,,
2021-09-21,,,59661.0,78931.0,296670.0,109023.0,22.1,60.2
2021-09-26,187647.0,38.08,,,,,,
2021-09-28,,,59714.0,78291.0,293814.0,125415.0,25.6,59.9
2021-10-03,168399.0,34.31,,,,,,
2021-10-05,,,62020.0,76437.0,295939.0,113357.0,23.4,61.2
2021-10-10,182582.0,37.74,,,,,,
2021-10-12,,,61335.0,83816.0,298503.0,112964.0,23.3,61.6
2021-10-17,185539.0,38.3,,,,,,
2021-10-19,,,62912.0,103496.0,299882.0,106533.0,21.9,61.7
2021-10-24,193349.0,39.79,,,,,,
2021-10-26,,,60953.0,98232.0,313646.0,99086.0,19.4,61.5
2021-10-31,214560.0,42.09,,,,,,
2021-11-02,,,56297.0,88632.0,311091.0,95962.0,18.9,61.3
2021-11-07,215129.0,42.38,,,,,,
2021-11-09,,,59992.0,82781.0,341111.0,90930.0,15.9,59.7
2021-11-14,250181.0,43.81,,,,,,
2021-11-16,,,61262.0,81599.0,360529.0,100749.0,16.4,58.9
2021-11-21,259780.0,42.41,,,,,,
2021-11-23,,,57977.0,71699.0,326409.0,91998.0,16.4,58.3
2021-11-28,234411.0,41.87,,,,,,
2021-11-30,,,59119.0,68310.0,310253.0,84393.0,15.9,58.3
2021-12-05,225860.0,42.47,,,,,,
2021-12-07,,,56199.0,63403.0,300518.0,83333.0,16.7,60.2
2021-12-12,217185.0,43.5,,,,,,
2021-12-14,,,56293.0,62990.0,298142.0,95741.0,19.0,59.2
2021-12-19,202401.0,40.18,,,,,,
2021-12-21,,,56546.0,60983.0,296628.0,90817.0,18.1,59.2
2021-12-26,205811.0,41.09,,,,,,
2021-12-28,,,56597.0,70980.0,303879.0,90723.0,17.8,59.7
2022-01-02,213156.0,41.88,,,,,,
2022-01-04,,,55448.0,75207.0,296583.0,85228.0,17.0,59.0
2022-01-09,211355.0,42.04,,,,,,
2022-01-11,,,57102.0,73808.0,290102.0,90365.0,16.5,53.1
2022-01-16,199737.0,36.55,,,,,,
2022-01-18,,,55363.0,77673.0,290528.0,96321.0,17.9,53.9
2022-01-23,194207.0,36.02,,,,,,
2022-01-25,,,52135.0,78616.0,313415.0,93264.0,16.3,54.8
2022-01-30,220151.0,38.48,,,,,,
2022-02-01,,,52829.0,68984.0,275994.0,103852.0,20.2,53.6
2022-02-06,172142.0,33.4,,,,,,
2022-02-08,,,55447.0,74302.0,279559.0,92853.0,18.1,54.5
2022-02-13,186706.0,36.41,,,,,,
2022-02-15,,,53723.0,84415.0,313269.0,99656.0,17.8,56.1
2022-02-20,213613.0,38.24,,,,,,
2022-02-22,,,55365.0,80940.0,350096.0,106948.0,17.5,57.3
2022-02-27,243148.0,39.76,,,,,,
2022-03-01,,,53433.0,75526.0,354177.0,96555.0,15.7,57.5
2022-03-06,257622.0,41.85,,,,,,
2022-03-08,,,55925.0,87744.0,364618.0,90230.0,14.1,57.1
2022-03-13,274388.0,42.97,,,,,,
2022-03-15,,,54308.0,73338.0,346731.0,84943.0,13.8,56.1
2022-03-20,261788.0,42.39,,,,,,
2022-03-22,,,54711.0,81523.0,328660.0,80628.0,13.3,54.3
2022-03-27,248032.0,40.98,,,,,,
2022-03-29,,,55972.0,86553.0,327632.0,70036.0,12.2,57.0
2022-04-03,257596.0,44.84,,,,,,
2022-04-05,,,54637.0,90779.0,324570.0,79029.0,14.1,57.9
2022-04-10,245541.0,43.79,,,,,,
2022-04-12,,,58590.0,81940.0,338164.0,83877.0,14.5,58.5
2022-04-17,254287.0,44.02,,,,,,
2022-04-19,,,64421.0,83261.0,330745.0,90988.0,15.8,57.5
2022-04-24,239757.0,41.68,,,,,,
2022-04-26,,,74444.0,70659.0,310511.0,92487.0,16.6,55.7
2022-05-01,218024.0,39.09,,,,,,
2022-05-03,,,81213.0,65590.0,293439.0,94271.0,16.8,52.4
2022-05-08,199168.0,35.54,,,,,,
2022-05-10,,,80136.0,57510.0,288947.0,95632.0,16.7,50.6
2022-05-15,193315.0,33.83,,,,,,
2022-05-17,,,77567.0,53159.0,283011.0,107651.0,19.4,50.9
2022-05-22,175360.0,31.55,,,,,,
2022-05-24,,,73763.0,54130.0,282202.0,98389.0,18.6,53.2
2022-05-29,183813.0,34.68,,,,,,
2022-05-31,,,71429.0,53404.0,269459.0,96870.0,18.9,52.5
2022-06-05,172589.0,33.6,,,,,,
2022-06-07,,,61946.0,58232.0,270356.0,95088.0,19.2,54.7
2022-06-12,175268.0,35.47,,,,,,
2022-06-14,,,64874.0,51077.0,266596.0,111998.0,22.5,53.6
2022-06-19,154598.0,31.08,,,,,,
2022-06-21,,,71168.0,50230.0,268119.0,104832.0,21.0,53.6
2022-06-26,163287.0,32.64,,,,,,
2022-06-28,,,78478.0,47782.0,268712.0,111019.0,22.3,54.1
2022-07-03,157693.0,31.73,,,,,,
2022-07-05,,,85869.0,54073.0,267806.0,122146.0,24.5,53.8
2022-07-10,145660.0,29.24,,,,,,
2022-07-12,,,78918.0,52623.0,251126.0,133005.0,24.5,46.3
2022-07-17,118121.0,21.77,,,,,,
2022-07-19,,,75836.0,52000.0,241004.0,146049.0,27.8,45.9
2022-07-24,94955.0,18.09,,,,,,
2022-07-26,,,78939.0,52377.0,241661.0,148971.0,30.6,49.6
2022-07-31,92690.0,19.01,,,,,,
2022-08-02,,,77723.0,50317.0,242128.0,117802.0,25.6,52.7
2022-08-07,124326.0,27.05,,,,,,
2022-08-09,,,77954.0,49477.0,242906.0,100055.0,22.1,53.6
2022-08-14,142851.0,31.5,,,,,,
2022-08-16,,,75017.0,46797.0,238196.0,97032.0,21.4,52.5
2022-08-21,141164.0,31.1,,,,,,
2022-08-23,,,69200.0,50210.0,237427.0,111580.0,24.4,51.9
2022-08-28,125847.0,27.49,,,,,,
2022-08-30,,,69360.0,46105.0,235314.0,117580.0,25.6,51.2
2022-09-04,117734.0,25.64,,,,,,
2022-09-06,,,70571.0,46581.0,231527.0,127670.0,27.4,49.7
2022-09-11,103857.0,22.29,,,,,,
2022-09-13,,,63560.0,44574.0,225932.0,128588.0,27.7,48.7
2022-09-18,97344.0,20.99,,,,,,
2022-09-20,,,67059.0,46773.0,214557.0,148835.0,31.7,45.7
2022-09-25,65722.0,14.0,,,,,,
2022-09-27,,,78482.0,50726.0,207154.0,155073.0,33.9,45.3
2022-10-02,52081.0,11.39,,,,,,
2022-10-04,,,68721.0,50470.0,215964.0,127579.0,29.2,49.4
2022-10-09,88385.0,20.22,,,,,,
2022-10-11,,,66920.0,51021.0,212561.0,118141.0,27.4,49.3
2022-10-16,94420.0,21.89,,,,,,
2022-10-18,,,69637.0,49335.0,210890.0,133934.0,30.8,48.5
2022-10-23,76956.0,17.7,,,,,,
2022-10-25,,,66919.0,50000.0,212853.0,144821.0,31.8,46.7
2022-10-30,68032.0,14.92,,,,,,
2022-11-01,,,58222.0,50738.0,216341.0,151718.0,32.5,46.3
2022-11-06,64623.0,13.83,,,,,,
2022-11-08,,,52115.0,55028.0,223135.0,140797.0,28.8,45.7
2022-11-13,82338.0,16.86,,,,,,
2022-11-15,,,50909.0,60730.0,227282.0,101013.0,20.4,45.9
2022-11-20,126269.0,25.5,,,,,,
2022-11-22,,,49597.0,52701.0,214284.0,98171.0,21.8,47.7
2022-11-27,116113.0,25.83,,,,,,
2022-11-29,,,49449.0,51433.0,209161.0,99158.0,22.9,48.2
2022-12-04,110003.0,25.37,,,,,,
2022-12-06,,,53817.0,55496.0,211472.0,96347.0,22.8,50.1
2022-12-11,115125.0,27.27,,,,,,
2022-12-13,,,55501.0,58057.0,224409.0,98760.0,22.6,51.3
2022-12-18,125649.0,28.75,,,,,,
2022-12-20,,,55165.0,55940.0,226136.0,97288.0,22.3,51.8
2022-12-25,128848.0,29.51,,,,,,
2022-12-27,,,57746.0,58470.0,229525.0,92645.0,21.1,52.2
2023-01-01,136880.0,31.11,,,,,,
2023-01-03,,,61866.0,57191.0,230801.0,89135.0,19.8,51.4
2023-01-08,141666.0,31.52,,,,,,
2023-01-10,,,64526.0,74753.0,243566.0,93031.0,19.3,50.6
2023-01-15,150535.0,31.26,,,,,,
2023-01-17,,,68672.0,84910.0,246874.0,93634.0,19.0,50.2
2023-01-22,153240.0,31.16,,,,,,
2023-01-24,,,67771.0,87941.0,253311.0,95638.0,19.1,50.7
2023-01-29,157673.0,31.54,,,,,,
2023-01-31,,,68195.0,85410.0,256417.0,96136.0,20.4,54.4
2023-02-05,160281.0,33.98,,,,,,
2023-02-07,,,72969.0,75474.0,223298.0,94483.0,21.5,50.8
2023-02-12,128815.0,29.29,,,,,,
2023-02-14,,,72796.0,67285.0,210374.0,104845.0,24.6,49.4
2023-02-19,105529.0,24.77,,,,,,
2023-02-21,,,71346.0,73395.0,210185.0,103084.0,24.4,49.7
2023-02-26,107101.0,25.34,,,,,,
2023-02-28,,,66718.0,60680.0,208419.0,99826.0,23.4,48.8
2023-03-05,108593.0,25.44,,,,,,
2023-03-07,,,72578.0,64858.0,215574.0,117100.0,25.5,47.0
2023-03-12,98474.0,21.48,,,,,,
2023-03-14,,,68244.0,54088.0,230823.0,90492.0,19.7,50.3
2023-03-19,140331.0,30.57,,,,,,
2023-03-21,,,63446.0,51095.0,237891.0,79286.0,16.9,50.6
2023-03-26,158605.0,33.75,,,,,,
2023-03-28,,,58140.0,56595.0,245135.0,63505.0,13.3,51.2
2023-04-02,181630.0,37.95,,,,,,
2023-04-04,,,63492.0,60538.0,266164.0,70948.0,14.9,55.8
2023-04-09,195216.0,40.96,,,,,,
2023-04-11,,,60366.0,56063.0,260165.0,67420.0,14.1,54.6
2023-04-16,192745.0,40.44,,,,,,
2023-04-18,,,58328.0,67262.0,260061.0,70168.0,14.6,53.9
2023-04-23,189893.0,39.38,,,,,,
2023-04-25,,,74266.0,57224.0,253186.0,67922.0,14.4,53.5
2023-04-30,185264.0,39.15,,,,,,
2023-05-02,,,76050.0,54308.0,262413.0,66846.0,13.5,53.1
2023-05-07,195567.0,39.6,,,,,,
2023-05-09,,,79996.0,55131.0,266472.0,70658.0,13.6,51.3
2023-05-14,195814.0,37.73,,,,,,
2023-05-16,,,92300.0,59693.0,255250.0,75436.0,14.5,48.9
2023-05-21,179814.0,34.46,,,,,,
2023-05-23,,,91271.0,61463.0,236149.0,75417.0,15.7,49.3
2023-05-28,160732.0,33.55,,,,,,
2023-05-30,,,90801.0,55099.0,237306.0,67990.0,15.1,52.8
2023-06-04,169316.0,37.67,,,,,,
2023-06-06,,,82616.0,56660.0,237467.0,61826.0,14.2,54.4
2023-06-11,175641.0,40.26,,,,,,
2023-06-13,,,74199.0,61293.0,227317.0,67108.0,15.5,52.5
2023-06-18,160209.0,37.01,,,,,,
2023-06-20,,,62852.0,64740.0,229308.0,66333.0,15.1,52.3
2023-06-25,162975.0,37.21,,,,,,
2023-06-27,,,61574.0,64514.0,220881.0,68971.0,16.0,51.1
2023-07-02,151910.0,35.18,,,,,,
2023-07-03,,,67778.0,59016.0,235081.0,71984.0,16.1,52.5
2023-07-09,163097.0,36.4,,,,,,
2023-07-11,,,70546.0,59389.0,240546.0,74792.0,15.5,49.8
2023-07-16,165754.0,34.31,,,,,,
2023-07-18,,,70871.0,67321.0,263740.0,70392.0,14.6,54.7
2023-07-23,193348.0,40.11,,,,,,
2023-07-25,,,72584.0,73743.0,248229.0,74590.0,15.7,52.1
2023-07-30,173639.0,36.47,,,,,,
2023-08-01,,,69655.0,80399.0,238985.0,74061.0,16.9,54.4
2023-08-06,164924.0,37.54,,,,,,
2023-08-08,,,81304.0,71247.0,228846.0,85861.0,20.1,53.5
2023-08-13,142985.0,33.43,,,,,,
2023-08-15,,,93099.0,67401.0,233078.0,111942.0,25.8,53.8
2023-08-20,121136.0,27.94,,,,,,
2023-08-22,,,88520.0,63905.0,226340.0,124394.0,28.9,52.6
2023-08-27,101946.0,23.7,,,,,,
2023-08-29,,,79240.0,62624.0,236054.0,112782.0,25.5,53.3
2023-09-03,123272.0,27.84,,,,,,
2023-09-05,,,73888.0,67118.0,235802.0,97796.0,22.3,53.8
2023-09-10,138006.0,31.46,,,,,,
2023-09-12,,,79667.0,67333.0,235704.0,111840.0,25.3,53.4
2023-09-17,123864.0,28.07,,,,,,
2023-09-19,,,84544.0,68244.0,237716.0,102553.0,23.4,54.3
2023-09-24,135163.0,30.85,,,,,,
2023-09-26,,,99442.0,70663.0,235560.0,119745.0,27.5,54.1
2023-10-01,115815.0,26.59,,,,,,
2023-10-03,,,91185.0,69273.0,228406.0,137180.0,31.8,53.0
2023-10-08,91226.0,21.16,,,,,,
2023-10-10,,,81434.0,66679.0,220332.0,148899.0,34.1,50.5
2023-10-15,71433.0,16.36,,,,,,
2023-10-17,,,97562.0,71673.0,231412.0,118674.0,27.0,52.6
2023-10-22,112738.0,25.65,,,,,,
2023-10-24,,,92608.0,71848.0,251469.0,102084.0,22.0,54.3
2023-10-29,149385.0,32.23,,,,,,
2023-10-31,,,87070.0,69909.0,261053.0,97628.0,20.5,54.9
2023-11-05,163425.0,34.35,,,,,,
2023-11-07,,,76341.0,66053.0,261653.0,95437.0,19.7,54.0
2023-11-12,166216.0,34.32,,,,,,
2023-11-14,,,78584.0,61976.0,254352.0,98976.0,20.3,52.3
2023-11-19,155376.0,31.93,,,,,,
2023-11-21,,,68365.0,64822.0,269701.0,97996.0,19.3,53.0
2023-11-26,171705.0,33.77,,,,,,
2023-11-28,,,66621.0,62749.0,289845.0,89761.0,17.8,57.3
2023-12-03,200084.0,39.57,,,,,,
2023-12-05,,,64774.0,62780.0,288840.0,85296.0,17.5,59.3
2023-12-10,203544.0,41.76,,,,,,
2023-12-12,,,69634.0,65630.0,273536.0,85303.0,18.2,58.2
2023-12-17,188233.0,40.05,,,,,,
2023-12-19,,,69078.0,74637.0,280972.0,79633.0,16.5,58.4
2023-12-24,201339.0,41.84,,,,,,
2023-12-26,,,66009.0,73086.0,289843.0,82125.0,16.7,59.0
2023-12-31,207718.0,42.28,,,,,,
2024-01-02,,,61977.0,70594.0,290706.0,83057.0,16.6,58.1
2024-01-07,207649.0,41.5,,,,,,
2024-01-09,,,77429.0,64262.0,271665.0,83051.0,17.0,55.5
2024-01-14,188614.0,38.5,,,,,,
2024-01-16,,,87714.0,62408.0,262360.0,82467.0,16.9,53.6
2024-01-21,179893.0,36.76,,,,,,
2024-01-23,,,96292.0,66369.0,241100.0,71626.0,15.4,51.8
2024-01-28,169474.0,36.38,,,,,,
2024-01-30,,,79698.0,71100.0,219222.0,71431.0,16.6,50.9
2024-02-04,147791.0,34.34,,,,,,
2024-02-06,,,84993.0,71283.0,228623.0,66885.0,16.0,54.5
2024-02-11,161738.0,38.59,,,,,,
2024-02-13,,,110926.0,78229.0,217505.0,86337.0,20.5,51.7
2024-02-18,131168.0,31.17,,,,,,
2024-02-20,,,95883.0,79941.0,211034.0,70772.0,17.4,51.8
2024-02-25,140262.0,34.46,,,,,,
2024-02-27,,,71276.0,69673.0,214948.0,73312.0,17.8,52.3
2024-03-03,141636.0,34.44,,,,,,
2024-03-05,,,76297.0,70970.0,264148.0,72855.0,15.4,56.0
2024-03-10,191293.0,40.56,,,,,,
2024-03-12,,,82012.0,87439.0,283062.0,81460.0,15.8,54.9
2024-03-17,201602.0,39.07,,,,,,
2024-03-19,,,92391.0,124316.0,278732.0,77130.0,14.4,52.1
2024-03-24,201602.0,37.68,,,,,,
2024-03-26,,,97688.0,120771.0,265647.0,66353.0,13.2,52.7
2024-03-31,199294.0,39.57,,,,,,
2024-04-02,,,106570.0,126866.0,281399.0,74149.0,14.8,56.3
2024-04-07,207250.0,41.45,,,,,,
2024-04-09,,,101878.0,144572.0,279799.0,77380.0,15.3,55.4
2024-04-14,202419.0,40.07,,,,,,
2024-04-16,,,97021.0,144590.0,278777.0,76854.0,14.9,53.9
2024-04-21,201923.0,39.04,,,,,,
2024-04-23,,,90619.0,149013.0,279535.0,76644.0,14.8,54.1
2024-04-28,202891.0,39.3,,,,,,
2024-04-30,,,94743.0,152807.0,278850.0,74640.0,14.4,53.6
2024-05-05,204210.0,39.29,,,,,,
2024-05-07,,,97499.0,160147.0,272144.0,72577.0,13.7,51.4
2024-05-12,199567.0,37.67,,,,,,
2024-05-14,,,101882.0,163662.0,277642.0,73146.0,14.0,53.1
2024-05-19,204496.0,39.1,,,,,,
2024-05-21,,,91193.0,162887.0,300729.0,70923.0,13.4,56.7
2024-05-26,229806.0,43.31,,,,,,
2024-05-28,,,88217.0,153739.0,286737.0,50152.0,10.3,59.1
2024-06-02,236585.0,48.74,,,,,,
2024-06-04,,,81585.0,142712.0,284566.0,47264.0,10.6,63.6
2024-06-09,237302.0,53.03,,,,,,
2024-06-11,,,77725.0,139013.0,276769.0,42843.0,9.8,63.4
2024-06-16,233926.0,53.55,,,,,,
2024-06-18,,,81269.0,133890.0,287147.0,44063.0,9.9,64.6
2024-06-23,243084.0,54.71,,,,,,
2024-06-25,,,84672.0,134798.0,284885.0,38656.0,8.5,63.0
2024-06-30,246229.0,54.45,,,,,,
2024-07-02,,,86020.0,135243.0,280117.0,38574.0,8.5,61.6
2024-07-07,241543.0,53.12,,,,,,
2024-07-09,,,85206.0,141237.0,303043.0,48268.0,9.3,58.7
2024-07-14,254775.0,49.34,,,,,,
2024-07-16,,,80874.0,139774.0,349827.0,64803.0,11.2,60.3
2024-07-21,285024.0,49.15,,,,,,
2024-07-23,,,75016.0,117236.0,341600.0,68526.0,12.0,59.7
2024-07-28,273074.0,47.71,,,,,,
2024-07-30,,,78482.0,102957.0,313364.0,66763.0,13.1,61.3
2024-08-04,246601.0,48.27,,,,,,
2024-08-06,,,69000.0,88598.0,298119.0,59370.0,12.4,62.0
2024-08-11,238749.0,49.67,,,,,,
2024-08-13,,,70216.0,86013.0,328769.0,61505.0,12.2,65.0
2024-08-18,267264.0,52.83,,,,,,
2024-08-20,,,71561.0,91835.0,355551.0,64298.0,12.1,66.7
2024-08-25,291253.0,54.66,,,,,,
2024-08-27,,,71918.0,89063.0,343330.0,48885.0,9.4,65.8
