指标名称,中国:出货量:智能手机:当月值,中国:出货量:手机:当月值,中国:36个大中城市:日用工业消费品平均价格:手机(彩屏带摄像头)
2011-01-31,568.2,3599.1,
2011-02-28,418.1,1934.8,
2011-03-31,746.1,4002.6,
2011-04-30,467.3,3026.3,
2011-05-31,368.6,2587.9,
2011-06-30,585.6,2704.0,
2011-07-31,651.7,3013.2,
2011-08-31,839.9,4055.1,
2011-09-30,1240.7,4624.4,
2011-10-31,934.6,3324.2,
2011-11-30,1291.6,4030.8,
2011-12-31,1382.0,4337.9,
2012-01-31,1102.3,2400.6,
2012-02-29,1269.5,2998.9,
2012-03-31,1745.1,3958.6,
2012-04-30,1811.4,3528.7,
2012-05-31,1841.3,3586.8,
2012-06-30,1715.9,3017.7,
2012-07-31,2101.0,3875.0,
2012-08-31,2309.0,4091.6,
2012-09-30,2903.2,5202.5,
2012-10-31,2463.7,3935.9,
2012-11-30,2761.4,4216.2,
2012-12-31,3409.4,4966.9,
2013-01-31,3436.8,4764.6,1410.0
2013-02-28,1643.5,2079.2,1403.0
2013-03-31,4705.8,6394.2,1396.0
2013-04-30,4036.5,5545.9,
2013-05-31,4521.5,5908.1,
2013-06-30,3006.5,4248.8,1404.0
2013-07-31,3621.1,5420.8,
2013-08-31,3522.7,5078.2,1380.0
2013-09-30,3252.5,4371.9,
2013-10-31,2949.2,3997.3,1389.0
2013-11-30,3372.0,4567.1,1372.0
2013-12-31,4156.8,5339.4,1378.0
2014-01-31,3509.3,3984.7,1365.0
2014-02-28,1945.4,2143.4,1360.0
2014-03-31,3455.8,3953.3,1396.0
2014-04-30,3552.9,4071.2,1318.0
2014-05-31,3163.1,3646.9,1294.0
2014-06-30,3699.7,4245.1,1282.0
2014-07-31,3631.0,4233.0,1285.0
2014-08-31,2404.9,3027.5,1285.0
2014-09-30,3014.9,3592.6,1306.0
2014-10-31,2819.4,3359.7,1308.0
2014-11-30,3848.9,4454.3,1299.0
2014-12-31,3832.8,4511.0,1292.0
2015-01-31,4042.0,4706.1,1284.0
2015-02-28,2188.4,2452.6,1290.0
2015-03-31,3208.2,3746.1,1256.0
2015-04-30,4008.8,4520.1,1269.0
2015-05-31,3952.7,4432.6,
2015-06-30,3377.3,3812.0,1295.0
2015-07-31,3985.9,4491.5,1295.0
2015-08-31,4158.2,4738.4,1291.0
2015-09-30,3732.8,4220.3,1306.0
2015-10-31,3296.7,3720.6,1332.0
2015-11-30,4701.2,5322.2,1326.0
2015-12-31,5088.1,5647.5,1321.0
2016-01-31,4459.1,4940.0,1314.0
2016-02-29,2054.2,2222.3,1330.0
2016-03-31,4047.4,4468.4,1387.0
2016-04-30,3990.5,4254.9,1385.0
2016-05-31,4737.2,5017.0,1379.0
2016-06-30,4191.0,4455.7,1378.0
2016-07-31,4821.2,5086.5,1376.0
2016-08-31,4447.5,4756.6,1388.0
2016-09-30,4321.8,4773.2,1386.0
2016-10-31,3895.1,4231.8,1382.0
2016-11-30,5152.8,5452.1,1402.0
2016-12-31,6044.0,6316.4,1429.0
2017-01-31,4503.1,4686.4,1532.0
2017-02-28,2783.0,2955.9,1538.0
2017-03-31,3931.3,4187.1,1508.0
2017-04-30,3858.8,4112.8,1498.0
2017-05-31,3538.1,3737.0,1503.0
2017-06-30,3948.3,4178.6,1494.0
2017-07-31,4082.5,4304.9,1506.0
2017-08-31,3685.0,4122.6,1512.0
2017-09-30,4155.6,4418.6,1521.0
2017-10-31,3580.6,3818.1,1521.0
2017-11-30,4034.5,4325.1,1522.0
2017-12-31,4036.1,4261.2,1524.0
2018-01-31,3628.2,3906.4,1564.0
2018-02-28,1750.5,1812.2,1572.0
2018-03-31,2808.3,3018.5,1574.0
2018-04-30,3266.7,3425.1,1609.0
2018-05-31,3598.1,3783.6,1628.0
2018-06-30,3496.6,3661.0,1628.0
2018-07-31,3415.4,3697.5,1631.0
2018-08-31,3044.8,3259.5,1609.0
2018-09-30,3676.5,3902.2,1615.0
2018-10-31,3626.5,3853.3,1603.0
2018-11-30,3329.8,3537.0,1599.0
2018-12-31,3351.6,3567.4,1587.0
2019-01-31,3214.6,3404.8,1562.0
2019-02-28,1398.9,1451.1,1541.37
2019-03-31,2693.6,2837.3,1569.0
2019-04-30,3479.1,3653.0,1565.68
2019-05-31,3643.6,3829.4,1593.72
2019-06-30,3322.0,3431.0,1665.85
2019-07-31,3295.2,3419.9,1715.2
2019-08-31,2959.5,3087.5,1712.37
2019-09-30,3468.3,3623.6,1705.72
2019-10-31,3461.6,3596.9,1721.05
2019-11-30,3336.7,3484.2,1747.96
2019-12-31,2893.1,3044.4,1749.45
2020-01-31,2036.6,2081.3,1771.85
2020-02-29,634.1,638.4,1788.41
2020-03-31,2102.9,2175.6,1794.61
2020-04-30,4078.2,4172.8,1788.26
2020-05-31,3266.1,3375.9,1797.39
2020-06-30,2770.6,2863.0,1796.07
2020-07-31,2125.6,2230.1,1803.14
2020-08-31,2562.4,2690.7,1777.32
2020-09-30,2200.1,2333.4,1769.27
2020-10-31,2501.4,2615.3,1774.84
2020-11-30,2771.0,2958.4,1769.48
2020-12-31,2521.8,2659.5,1780.32
2021-01-31,3957.2,4012.0,1866.32
2021-02-28,2134.2,2175.9,1879.88
2021-03-31,3526.8,3609.4,1899.35
2021-04-30,2697.3,2748.6,1933.64
2021-05-31,2260.4,2296.8,1957.35
2021-06-30,2518.7,2566.4,1975.05
2021-07-31,2776.7,2867.6,1970.3
2021-08-31,2308.0,2430.6,1990.25
2021-09-30,2081.1,2144.0,1999.54
2021-10-31,3268.1,3357.5,2114.53
2021-11-30,3484.1,3525.2,2093.14
2021-12-31,3268.5,3340.1,2081.34
2022-01-31,3236.6,3302.2,2076.86
2022-02-28,1454.9,1486.4,2093.92
2022-03-31,2102.8,2146.0,2118.17
2022-04-30,1769.0,1807.9,2120.6
2022-05-31,2055.9,2080.5,2118.32
2022-06-30,2747.8,2801.7,2116.26
2022-07-31,1911.7,1990.8,2176.73
2022-08-31,1813.5,1897.9,2158.22
2022-09-30,1984.4,2092.2,2148.0
2022-10-31,2377.6,2435.6,2146.91
2022-11-30,2221.8,2323.8,2143.22
2022-12-31,2683.9,2786.0,2151.3
2023-01-31,1829.1,1890.2,2144.32
2023-02-28,2043.6,2126.0,2162.56
2023-03-31,2155.9,2261.5,2144.26
2023-04-30,1806.5,1869.0,2207.82
2023-05-31,2519.6,2603.7,2215.97
2023-06-30,2086.3,2214.9,2200.54
2023-07-31,1728.7,1855.2,2187.82
2023-08-31,1792.6,1898.5,2186.55
2023-09-30,3193.4,3327.7,2165.48
2023-10-31,2818.1,2916.2,2155.84
2023-11-30,2958.6,3121.1,2181.32
2023-12-31,2683.6,2827.5,2180.45
2024-01-31,2951.3,3177.8,2218.65
2024-02-29,1404.2,1425.7,2236.75
2024-03-31,2021.8,2138.0,2233.97
2024-04-30,2266.8,2407.1,
2024-05-31,2860.0,3032.9,
2024-06-30,2384.1,2491.2,
2024-07-31,2217.4,2420.4,

数据来源：Wind











































































































































































































































































































































































































































































































